paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
kce6LTZ5vY,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,3.0,6.0,,,
te2IdORabL,4.5,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
uZgK0tcPqd,4.0,Reject,6.67,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,6.0,,,,
Z9AZsU1Tju,5.0,Reject,6.20,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,5.0,6.0,6.0,,
dbQH9AOVd5,5.0,Reject,6.33,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,3.0,,,,
ZZrSOMLoau,4.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,5.0,,,
d8hURACo0P,4.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,8.0,,,
NA2vUMaMOm,5.5,Reject,7.00,Accept,Accept,NO,0.0000,0.0000,5.0,8.0,8.0,,,,
ChNy95ovpF,3.5,Reject,4.33,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,,,,
JYwVijuNA7,5.0,Reject,5.75,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,5.0,,,
r3cWq6KKbt,5.5,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
xom3YUQfbK,3.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
85gNpcUhmx,4.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,5.0,,,
EreKmSOw7K,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,,,,
HD6bWcj87Y,6.5,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,10.0,6.0,8.0,6.0,,,
s1ByDEbpI8,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,8.0,3.0,5.0,5.0,,,
LLbHdII8Pg,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,5.0,,,
XdcuqZRhjQ,3.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,6.0,,,
RZwtbg3qYD,5.5,Reject,6.60,Accept,Accept,NO,0.0000,0.0000,5.0,8.0,8.0,6.0,6.0,,
gctmyMiPHH,6.0,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,5.0,6.0,8.0,6.0,,,
PxoFut3dWW,7.0,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,8.0,5.0,6.0,6.0,,,
